idProduct	idSeller	idSellerProduct
1616200	101	pralni-stroj-was28448me-bosch
2652739	101	pralni-stroj-wmb61031m-beko
3450334	101	pralni-stroj-l98699fle2-aeg
3108945	101	pralni-stroj-waq24441by-bosch
696306	101	pralni-stroj-ctd12762-pralni-stroj-candy---tnc
2233469	101	pralni-stroj-evo1673dw-candy
3566049	101	pralni-stroj-gc1471d1-candy
3099404	101	pralni-stroj-w6643ns-gorenje
3447644	101	pralni-stroj-wae24467by-pralni-stroj-bosch
3351067	101	pralni-stroj-wmb81466st-beko
2910556	101	pralni-stroj-wmsd723beu-pralni-stroj-indesit
2718166	101	pralni-stroj-was32890eu-bosch
3351070	101	pralni-stroj-wmb61443pta-beko
2830454	101	pralni-stroj-wmb71443-beko
2658533	101	pralni-stroj-wmb81244la-beko
3165881	101	pralni-stroj-ws623w-slim-gorenje-one
914290	107	15447
1115636	107	15393
1287320	107	18474
1034179	107	16795
2762114	107	26739
1498000	107	26740
3108953	107	29209
3118452	107	29241
1952983	107	19503
2718166	107	22771
2121770	107	22764
2121768	107	22770
1616200	107	20453
1306543	107	18910
3098518	107	28466
2740924	107	27233
1620325	107	21042
2718169	107	22765
2222163	107	22867
2233472	107	24220
2220506	107	24250
2220511	107	24251
2395601	107	24610
1060264	107	17229
1917002	107	20973
1496019	107	20449
3057695	107	28006
2233471	107	24219
3016619	107	27992
2222165	107	26151
1317413	107	25806
2722322	107	26265
2097475	107	21015
2658533	107	26594
2782812	107	26738
1497998	107	26741
2233469	107	24217
1313941	107	18904
1588874	107	20452
1308039	107	20189
2995129	107	29919
3336177	107	30122
3245024	107	29157
3180274	107	29418
3285493	107	29619
3339103	107	31081
3569802	107	31138
3118461	107	29242
3450334	107	30356
3666153	107	31687
3447644	107	30776
2890983	107	30986
3464178	107	31078
498808	107	31115
3666118	107	31647
3666171	107	31708
3666146	107	31682
2436416	107	29630
3550914	107	33980
3470670	107	39531
3491882	107	30545
3353943	107	30597
2591317	107	38567
3339104	107	31080
3108945	107	29208
3566049	107	31157
3666170	107	31707
3564872	107	31160
3562009	107	31379
3666117	107	31646
560081	107	31670
3147891	107	29172
3351067	107	38730
3354499	107	29717
3106399	107	38588
3099404	107	28473
3666154	107	31688
3666169	107	31706
3142249	107	28859
3491880	107	30547
3528895	107	30757
3666135	107	31667
3666136	107	31668
2782812	114	140462
3666152	107	31608
3666137	107	31669
3666168	107	31705
3666172	107	31716
3562008	107	34139
3644510	107	31465
3666123	107	31656
3335785	107	39864
2888810	107	40105
2910556	107	39859
2222165	114	167355
3098518	114	168827
3080248	107	30623
1949572	107	7895
2815708	114	131142
3326667	114	179938
1022675	114	140216
2826112	114	140737
2834322	114	136164
3142254	107	28860
3118442	107	29167
3118452	114	164890
3110233	114	164911
3491883	107	30544
3374952	107	29785
3108944	114	15132167
3564872	114	16020385
3285493	114	192272
3098516	107	28464
